order_id,paymentTypeId,paymentName,amount,currency,insertDate
138492448,574,Multinet Online,217.9,TRY,2023-08-31T12:44:18.337
138492751,29,YS Online,217.9,TRY,2023-08-31T13:21:02.843
138493988,4,Smart Ticket,252.9,TRY,2023-08-31T13:21:02.017
138496300,90,Trendyol Online,217.9,TRY,2023-08-31T13:21:01.063
138496699,5,SetCard,344.9,TRY,2023-08-31T12:58:57.657
138501538,4,Smart Ticket,217.9,TRY,2023-08-31T16:18:40.96
138501682,41,Pluxee (Sodexo) Online,209.9,TRY,2023-08-31T16:18:40.197
138501837,2,Kredi Kartı,207.9,TRY,2023-08-31T13:21:08.143
138506017,29,YS Online,239.9,TRY,2023-08-31T13:31:06.143
138507092,1,Nakit,263.8,TRY,2023-08-31T13:59:09.19
138507244,90,Trendyol Online,217.9,TRY,2023-08-31T13:59:10.34
138507788,33,Getir Online,224.9,TRY,2023-08-31T16:18:43.02
138508522,29,YS Online,285.9,TRY,2023-08-31T16:18:43.893
138509530,90,Trendyol Online,521.8,TRY,2023-08-31T16:18:47.057
138509808,29,YS Online,437.8,TRY,2023-08-31T16:19:00.847
138517061,29,YS Online,470.8,TRY,2023-08-31T16:18:39.383
138517552,2,Kredi Kartı,224.9,TRY,2023-08-31T16:18:38.743
138520242,2,Kredi Kartı,442.8,TRY,2023-08-31T16:18:42.353
138520538,1,Nakit,297.8,TRY,2023-08-31T16:18:41.673
138520698,2,Kredi Kartı,214.9,TRY,2023-08-31T14:01:30.833
138520704,29,YS Online,653.7,TRY,2023-08-31T16:18:51.047
138523316,29,YS Online,252.9,TRY,2023-08-31T16:18:47.797
138523502,2,Kredi Kartı,258.9,TRY,2023-08-31T16:18:56.02
138523700,2,Kredi Kartı,224.9,TRY,2023-08-31T16:18:55.27
138523829,90,Trendyol Online,217.9,TRY,2023-08-31T16:18:51.977
138524797,1,Nakit,623.7,TRY,2023-08-31T16:18:48.52
138525341,33,Getir Online,288.9,TRY,2023-08-31T16:18:49.303
138527257,2,Kredi Kartı,217.9,TRY,2023-08-31T16:18:52.813
138528321,1,Nakit,223.9,TRY,2023-08-31T16:18:57.57
138530033,1,Nakit,312.7,TRY,2023-08-31T16:18:53.587
138530723,90,Trendyol Online,449.8,TRY,2023-08-31T16:18:54.553
138531407,29,YS Online,217.9,TRY,2023-08-31T16:19:01.74
138531636,33,Getir Online,217.9,TRY,2023-08-31T16:18:56.807
138534602,29,YS Online,217.9,TRY,2023-08-31T16:19:03.563
138538652,33,Getir Online,234.9,TRY,2023-08-31T16:18:59.14
138538771,2,Kredi Kartı,207.9,TRY,2023-08-31T16:19:00.14
138540731,29,YS Online,435.8,TRY,2023-08-31T16:18:58.353
138541193,574,Multinet Online,218.9,TRY,2023-08-31T16:19:13.963
138541710,2,Kredi Kartı,298.8,TRY,2023-08-31T16:19:12.387
138544275,1,Nakit,220.41,TRY,2023-08-31T17:06:59.27
138544823,1,Nakit,214.9,TRY,2023-08-31T16:34:55.89
138548612,41,Pluxee (Sodexo) Online,196.11,TRY,2023-08-31T19:17:39.51
138553378,90,Trendyol Online,217.9,TRY,2023-08-31T17:06:55.693
138554096,90,Trendyol Online,324.9,TRY,2023-08-31T17:06:56.457
138554460,1,Nakit,227.9,TRY,2023-08-31T17:06:57.527
138554466,29,YS Online,252.9,TRY,2023-08-31T17:07:01.287
138554665,33,Getir Online,667.7,TRY,2023-08-31T17:06:58.373
138556533,29,YS Online,217.9,TRY,2023-08-31T19:17:37.62
