order_product_id,feature_id,featureName,additionalPrice
933631335,602096,Eldiven İstiyorum,0.0
933631335,602102,Normal Pişim,0.0
933631335,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
933633331,602098,Cajun Baharatı İstiyorum,0.0
933633331,602102,Normal Pişim,0.0
933633331,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
933642511,602098,Cajun Baharatı İstiyorum,0.0
933642511,602102,Normal Pişim,0.0
933653052,602098,Cajun Baharatı İstiyorum,0.0
933653052,602102,Normal Pişim,0.0
933665456,602098,Cajun Baharatı İstiyorum,0.0
933665456,602102,Normal Pişim,0.0
933688271,602098,Cajun Baharatı İstiyorum,0.0
933688271,602102,Normal Pişim,0.0
933688274,602098,Cajun Baharatı İstiyorum,0.0
933688274,602102,Normal Pişim,0.0
933745280,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
933745280,911611,CHEDDAR PEYNİRİ İSTEMİYORUM,-3.0
933745280,911612,FÜME ET İSTEMİYORUM,-5.0
933743838,602098,Cajun Baharatı İstiyorum,0.0
933745275,602098,Cajun Baharatı İstiyorum,0.0
933745275,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
933745275,911612,FÜME ET İSTEMİYORUM,-5.0
933776539,602096,Eldiven İstiyorum,0.0
933776539,602098,Cajun Baharatı İstiyorum,0.0
933776539,602102,Normal Pişim,0.0
933810424,602098,Cajun Baharatı İstiyorum,0.0
933810424,602102,Normal Pişim,0.0
933810424,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
933810424,911612,FÜME ET İSTEMİYORUM,-5.0
933814303,602096,Eldiven İstiyorum,0.0
933814303,602098,Cajun Baharatı İstiyorum,0.0
933814303,602102,Normal Pişim,0.0
933847012,602098,Cajun Baharatı İstiyorum,0.0
933847012,602102,Normal Pişim,0.0
933847012,911609,ET EKMEK ÇOCUK MENÜ,-15.0
933847016,602096,Eldiven İstiyorum,0.0
933847016,602098,Cajun Baharatı İstiyorum,0.0
933847016,602102,Normal Pişim,0.0
933880957,602098,Cajun Baharatı İstiyorum,0.0
933880957,602102,Normal Pişim,0.0
933880957,911609,ET EKMEK ÇOCUK MENÜ,-15.0
933880950,602098,Cajun Baharatı İstiyorum,0.0
933880950,602102,Normal Pişim,0.0
933880950,911609,ET EKMEK ÇOCUK MENÜ,-15.0
933880943,602098,Cajun Baharatı İstiyorum,0.0
933880943,602096,Eldiven İstiyorum,0.0
933880945,602098,Cajun Baharatı İstiyorum,0.0
933880945,602096,Eldiven İstiyorum,0.0
933880945,602102,Normal Pişim,0.0
933883246,602098,Cajun Baharatı İstiyorum,0.0
933883246,602096,Eldiven İstiyorum,0.0
933883246,602102,Normal Pişim,0.0
933936866,602096,Eldiven İstiyorum,0.0
933936862,602098,Cajun Baharatı İstiyorum,0.0
933936864,602098,Cajun Baharatı İstiyorum,0.0
933967040,602098,Cajun Baharatı İstiyorum,0.0
933976391,602099,CAJUN BAHARATI İSTEMİYORUM,0.0
933976391,602102,Normal Pişim,0.0
933976391,911609,ET EKMEK ÇOCUK MENÜ,-15.0
933979928,602098,Cajun Baharatı İstiyorum,0.0
933979928,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
933979928,911612,FÜME ET İSTEMİYORUM,-5.0
933979928,911613,B ÖZEL SOS İSTEMİYORUM,-1.0
933979919,602098,Cajun Baharatı İstiyorum,0.0
933979919,602102,Normal Pişim,0.0
933979919,911609,ET EKMEK ÇOCUK MENÜ,-15.0
934016676,602098,Cajun Baharatı İstiyorum,0.0
934063156,602098,Cajun Baharatı İstiyorum,0.0
934063156,602102,Normal Pişim,0.0
934095045,602098,Cajun Baharatı İstiyorum,0.0
934095045,602102,Normal Pişim,0.0
934095045,602096,Eldiven İstiyorum,0.0
934095050,602098,Cajun Baharatı İstiyorum,0.0
934095050,602102,Normal Pişim,0.0
934095050,602096,Eldiven İstiyorum,0.0
934098012,602098,Cajun Baharatı İstiyorum,0.0
934098012,602102,Normal Pişim,0.0
934118816,602096,Eldiven İstiyorum,0.0
934118816,602098,Cajun Baharatı İstiyorum,0.0
934118816,602102,Normal Pişim,0.0
934118807,602098,Cajun Baharatı İstiyorum,0.0
934118807,602102,Normal Pişim,0.0
934118807,602096,Eldiven İstiyorum,0.0
934172318,602098,Cajun Baharatı İstiyorum,0.0
934233968,602096,Eldiven İstiyorum,0.0
934233968,602098,Cajun Baharatı İstiyorum,0.0
934233968,602102,Normal Pişim,0.0
934233968,911609,ET EKMEK ÇOCUK MENÜ,-15.0
934268981,602096,Eldiven İstiyorum,0.0
934268981,602102,Normal Pişim,0.0
934285440,602096,Eldiven İstiyorum,0.0
934285440,602098,Cajun Baharatı İstiyorum,0.0
934285440,602102,Normal Pişim,0.0
934505298,602098,Cajun Baharatı İstiyorum,0.0
934505298,602102,Normal Pişim,0.0
934511555,602098,Cajun Baharatı İstiyorum,0.0
934511555,602102,Normal Pişim,0.0
934511544,602098,Cajun Baharatı İstiyorum,0.0
934511544,602102,Normal Pişim,0.0
934511541,602098,Cajun Baharatı İstiyorum,0.0
934511541,602102,Normal Pişim,0.0
934511536,602098,Cajun Baharatı İstiyorum,0.0
934511536,602102,Normal Pişim,0.0
934511548,602098,Cajun Baharatı İstiyorum,0.0
934511548,602102,Normal Pişim,0.0
934511550,602098,Cajun Baharatı İstiyorum,0.0
934511550,602102,Normal Pişim,0.0
934633256,602098,Cajun Baharatı İstiyorum,0.0
934633256,602102,Normal Pişim,0.0
934633256,911613,B ÖZEL SOS İSTEMİYORUM,-1.0
934637447,602098,Cajun Baharatı İstiyorum,0.0
934637447,602102,Normal Pişim,0.0
934637447,911612,FÜME ET İSTEMİYORUM,-5.0
934637451,602098,Cajun Baharatı İstiyorum,0.0
934637451,602102,Normal Pişim,0.0
934663891,602098,Cajun Baharatı İstiyorum,0.0
934663891,602102,Normal Pişim,0.0
934663894,602098,Cajun Baharatı İstiyorum,0.0
934663894,602102,Normal Pişim,0.0
934668073,602098,Cajun Baharatı İstiyorum,0.0
934668073,602102,Normal Pişim,0.0
934668073,602096,Eldiven İstiyorum,0.0
934670085,602098,Cajun Baharatı İstiyorum,0.0
934670085,602102,Normal Pişim,0.0
934707884,602098,Cajun Baharatı İstiyorum,0.0
934707884,602096,Eldiven İstiyorum,0.0
934707884,602102,Normal Pişim,0.0
934708155,602098,Cajun Baharatı İstiyorum,0.0
934708155,602102,Normal Pişim,0.0
934708628,602098,Cajun Baharatı İstiyorum,0.0
934708628,602102,Normal Pişim,0.0
934710391,602098,Cajun Baharatı İstiyorum,0.0
934710391,602096,Eldiven İstiyorum,0.0
934710391,602102,Normal Pişim,0.0
934710385,602098,Cajun Baharatı İstiyorum,0.0
934710385,602102,Normal Pişim,0.0
934759543,602098,Cajun Baharatı İstiyorum,0.0
934759543,602096,Eldiven İstiyorum,0.0
934766986,602098,Cajun Baharatı İstiyorum,0.0
934766986,602102,Normal Pişim,0.0
