order_product_id,feature_id,featureName,additionalPrice
951756957,602098,Cajun Baharatı İstiyorum,0.0
951779424,602098,Cajun Baharatı İstiyorum,0.0
951779424,602102,Normal Pişim,0.0
951779428,602098,Cajun Baharatı İstiyorum,0.0
951779428,602102,Normal Pişim,0.0
951828499,602098,Cajun Baharatı İstiyorum,0.0
951828499,602102,Normal Pişim,0.0
951828505,602098,Cajun Baharatı İstiyorum,0.0
951828505,602102,Normal Pişim,0.0
951828505,602096,Eldiven İstiyorum,0.0
951835087,602098,Cajun Baharatı İstiyorum,0.0
951835087,602096,Eldiven İstiyorum,0.0
951835087,602102,Normal Pişim,0.0
951836225,602098,Cajun Baharatı İstiyorum,0.0
951836225,602102,Normal Pişim,0.0
951836234,602098,Cajun Baharatı İstiyorum,0.0
951836234,602102,Normal Pişim,0.0
951836234,602096,Eldiven İstiyorum,0.0
951838147,602098,Cajun Baharatı İstiyorum,0.0
951838147,602102,Normal Pişim,0.0
951838138,602098,Cajun Baharatı İstiyorum,0.0
951838138,602102,Normal Pişim,0.0
951838138,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
951838138,911612,FÜME ET İSTEMİYORUM,-5.0
951838138,911613,B ÖZEL SOS İSTEMİYORUM,-1.0
951854958,602098,Cajun Baharatı İstiyorum,0.0
951854958,602102,Normal Pişim,0.0
951895596,602098,Cajun Baharatı İstiyorum,0.0
951895596,602096,Eldiven İstiyorum,0.0
951895596,602102,Normal Pişim,0.0
951929351,602098,Cajun Baharatı İstiyorum,0.0
951929351,602102,Normal Pişim,0.0
951940999,602098,Cajun Baharatı İstiyorum,0.0
951940999,602096,Eldiven İstiyorum,0.0
951940999,602102,Normal Pişim,0.0
951941010,602098,Cajun Baharatı İstiyorum,0.0
951941010,602096,Eldiven İstiyorum,0.0
951941010,602102,Normal Pişim,0.0
951941008,602098,Cajun Baharatı İstiyorum,0.0
951941008,602102,Normal Pişim,0.0
951941006,602098,Cajun Baharatı İstiyorum,0.0
951941006,602096,Eldiven İstiyorum,0.0
951941006,602102,Normal Pişim,0.0
951941004,602098,Cajun Baharatı İstiyorum,0.0
951941004,602096,Eldiven İstiyorum,0.0
