order_id,paymentTypeId,paymentName,amount,currency,insertDate
261521068,33,Getir Online,397.9,TRY,2025-02-02T18:42:00.21
261521250,90,Trendyol Online,610.83,TRY,2025-02-02T18:41:59.217
261521735,26,Metropol,339.9,TRY,2025-02-02T18:42:01.43
261522198,33,Getir Online,393.9,TRY,2025-02-02T18:42:02.507
261523811,3,Multinet,395.16,TRY,2025-02-02T18:33:44.557
261524104,90,Trendyol Online,562.57,TRY,2025-02-02T18:42:04.61
261525674,33,Getir Online,743.8,TRY,2025-02-02T18:49:02.483
261526408,2,Kredi Kartı,736.8,TRY,2025-02-02T18:42:03.223
261527184,2,Kredi Kartı,1498.7,TRY,2025-02-02T18:42:06.573
261528951,574,Multinet Online,467.66,TRY,2025-02-02T18:49:05.993
261528991,26,Metropol,1126.7,TRY,2025-02-02T18:42:07.157
261530579,41,Pluxee (Sodexo) Online,1289.23,TRY,2025-02-02T18:49:03.603
261530950,41,Pluxee (Sodexo) Online,909.32,TRY,2025-02-02T18:42:18.563
261532561,90,Trendyol Online,928.32,TRY,2025-02-02T18:42:15.6
261533841,29,YS Online,403.66,TRY,2025-02-02T18:42:13.32
261535606,2,Kredi Kartı,709.5,TRY,2025-02-02T18:30:32.31
261535703,33,Getir Online,729.8,TRY,2025-02-02T18:42:25.833
261536211,90,Trendyol Online,429.66,TRY,2025-02-02T18:42:38.173
261537059,5,SetCard,349.6,TRY,2025-02-02T18:42:31.003
261541984,574,Multinet Online,402.11,TRY,2025-02-02T18:50:43.857
261544209,29,YS Online,408.97,TRY,2025-02-02T18:48:35.557
261544775,1,Nakit,395.16,TRY,2025-02-02T19:13:07.413
261545318,1,Nakit,395.16,TRY,2025-02-02T19:12:51.663
261545740,2,Kredi Kartı,395.16,TRY,2025-02-02T19:08:28.15
261547141,33,Getir Online,796.8,TRY,2025-02-02T19:12:53.727
261547317,569,Migros Online,398.9,TRY,2025-02-02T19:08:29.887
261548190,41,Pluxee (Sodexo) Online,1065.88,TRY,2025-02-02T18:56:01.047
261549328,2,Kredi Kartı,862.8,TRY,2025-02-02T19:01:58.853
261551886,90,Trendyol Online,467.66,TRY,2025-02-02T18:56:03.707
261552700,90,Trendyol Online,405.91,TRY,2025-02-02T19:13:01.243
261556597,29,YS Online,514.16,TRY,2025-02-02T19:08:26.193
261557961,1,Nakit,395.16,TRY,2025-02-02T19:18:14.297
261560398,29,YS Online,817.95,TRY,2025-02-02T19:49:16.013
261560545,1,Nakit,481.91,TRY,2025-02-02T19:49:23.497
261561662,2,Kredi Kartı,411.93,TRY,2025-02-02T19:49:16.883
261562524,90,Trendyol Online,909.32,TRY,2025-02-02T19:49:17.543
261562589,29,YS Online,798.83,TRY,2025-02-02T19:49:22.82
261563120,4,Smart Ticket,736.8,TRY,2025-02-02T19:49:22.183
261563630,91,Pluxee (Sodexo) Pass Mobil,1542.49,TRY,2025-02-02T19:49:24.137
261566768,5,SetCard,699.2,TRY,2025-02-02T19:49:26.967
261567570,29,YS Online,411.44,TRY,2025-02-02T19:49:24.767
261567673,90,Trendyol Online,1899.04,TRY,2025-02-02T20:09:18.22
261567960,33,Getir Online,1323.6,TRY,2025-02-02T19:49:25.43
261568658,29,YS Online,395.16,TRY,2025-02-02T19:49:26.117
261572060,33,Getir Online,339.9,TRY,2025-02-02T20:09:19.963
261573567,29,YS Online,665.4,TRY,2025-02-02T20:09:22.18
261576457,90,Trendyol Online,402.11,TRY,2025-02-02T20:09:25.52
261576479,29,YS Online,866.83,TRY,2025-02-02T20:09:27.343
261576526,33,Getir Online,1911.6,TRY,2025-02-02T20:19:16.763
261577213,29,YS Online,1209.4,TRY,2025-02-02T20:19:17.757
261578627,41,Pluxee (Sodexo) Online,466.6,TRY,2025-02-02T20:19:19.457
261579474,2,Kredi Kartı,744.5,TRY,2025-02-02T20:34:44.85
261580471,1,Nakit,662.8,TRY,2025-02-02T20:33:15.197
261580673,91,Pluxee (Sodexo) Pass Mobil,1053.74,TRY,2025-02-02T20:19:18.723
261582609,4,Smart Ticket,399.9,TRY,2025-02-02T20:34:41.81
261584093,41,Pluxee (Sodexo) Online,396.41,TRY,2025-02-02T20:34:43.18
261584517,29,YS Online,395.16,TRY,2025-02-02T20:34:43.89
261585643,33,Getir Online,389.9,TRY,2025-02-02T20:34:45.657
261586544,2,Kredi Kartı,798.83,TRY,2025-02-02T21:26:08.437
261586767,33,Getir Online,919.6,TRY,2025-02-02T20:19:25.4
261587218,2,Kredi Kartı,459.9,TRY,2025-02-02T20:55:57.87
261587218,5,SetCard,1008.0,TRY,2025-02-02T20:55:57.883
261589087,90,Trendyol Online,572.16,TRY,2025-02-02T20:36:17.123
261589111,29,YS Online,403.66,TRY,2025-02-02T21:26:09.407
261589244,33,Getir Online,1017.8,TRY,2025-02-02T20:36:11.457
261589997,2,Kredi Kartı,973.08,TRY,2025-02-02T21:26:10.197
261591024,53330,Edenred Online,413.51,TRY,2025-02-02T20:36:18.75
261592132,1,Nakit,1149.4,TRY,2025-02-02T21:26:12.793
261592776,2,Kredi Kartı,577.91,TRY,2025-02-02T21:26:12.14
