order_id,order_product_id,product_id,productName,quantity,unitPrice,totalAmount,category,isMenu,parentId,discount
292290249,956888798,6606310,Burgerator Burger (100 gr.) Menü,2.0,524.9,1049.8,DeliveryHero,True,,0.0
292290249,956888799,6606311,Burger,2.0,0.0,0.0,DeliveryHero,False,956888798,0.0
292290249,956888800,6606312,Coca-Cola (33 cl.),2.0,0.0,0.0,DeliveryHero,False,956888798,0.0
292290548,956889793,5324736,Mushroom Burger (140 g) Menü,1.0,564.91,564.91,Entegrasyon,True,,0.0
292290548,956889797,6198882,Sos İstemiyorum,1.0,0.0,0.0,Trendyol,False,956889793,0.0
292290548,956889795,6198884,Normal Pişmiş,1.0,0.0,0.0,Trendyol,False,956889793,0.0
292290548,956889794,6200800,Lipton Ice Tea Limon (33 cl.),1.0,0.0,0.0,Trendyol,False,956889793,0.0
292292727,956897345,6606434,Truffles Burger (100 gr.) Menü,1.0,534.9,534.9,DeliveryHero,True,,0.0
292292727,956897347,6606311,Burger,1.0,0.0,0.0,DeliveryHero,False,956897345,0.0
292292727,956897348,6606312,Coca-Cola (33 cl.),1.0,0.0,0.0,DeliveryHero,False,956897345,0.0
292292943,956898132,987185,Anadolu Burger Menü,1.0,459.9,458.9,Burger Menüler,True,,0.0
292292943,956898134,356491,Coca Cola (330 ml),1.0,0.0,0.0,İçecekler,False,956898132,0.0
292292943,956898146,987186,Thunder Burger Menü,1.0,459.9,459.9,Burger Menüler,True,,0.0
292292943,956898147,356491,Coca Cola (330 ml),1.0,0.0,0.0,İçecekler,False,956898146,0.0
292293117,956898732,6607382,Burgerator Burger (140 gr.) Menü,2.0,604.9,1209.8,DeliveryHero,True,,0.0
292293117,956898733,6606311,Burger,2.0,0.0,0.0,DeliveryHero,False,956898732,0.0
292293117,956898734,6606312,Coca-Cola (33 cl.),2.0,0.0,0.0,DeliveryHero,False,956898732,0.0
292294022,956901935,6606310,Burgerator Burger (100 gr.) Menü,1.0,550.9,550.9,DeliveryHero,True,,0.0
292294022,956901936,6606311,Burger,1.0,0.0,0.0,DeliveryHero,False,956901935,0.0
292294022,956901937,6606455,Coca-Cola Zero Sugar (33 cl.),1.0,0.0,0.0,DeliveryHero,False,956901935,0.0
292294652,956904145,6628693,Mushroom Burger (200 gr.) Menü,1.0,694.9,694.9,DeliveryHero,True,,0.0
292294652,956904146,6606311,Burger,1.0,0.0,0.0,DeliveryHero,False,956904145,0.0
292294652,956904147,6606312,Coca-Cola (33 cl.),1.0,0.0,0.0,DeliveryHero,False,956904145,0.0
292295171,956905967,6618691,BBQ Burger (140 gr.) Menü,1.0,618.9,618.9,DeliveryHero,True,,0.0
292295171,956905968,6606311,Burger,1.0,0.0,0.0,DeliveryHero,False,956905967,0.0
292295171,956905969,6606455,Coca-Cola Zero Sugar (33 cl.),1.0,0.0,0.0,DeliveryHero,False,956905967,0.0
292295934,956908622,980599,Burgerator Burger Menü,1.0,649.9,649.9,Burger Menüler,True,,0.0
292295934,956908622,980599,Burgerator Burger Menü,1.0,649.9,649.9,Burger Menüler,True,,0.0
292295934,956908623,356491,Coca Cola (330 ml),1.0,0.0,0.0,İçecekler,False,956908622,0.0
292295934,956908630,1922113,Mozarella Sticks,3.0,99.9,299.7,Extralar,False,,0.0
292296969,956912182,6607382,Burgerator Burger (140 gr.) Menü,1.0,611.9,611.9,DeliveryHero,True,,0.0
292296969,956912184,6606311,Burger,1.0,0.0,0.0,DeliveryHero,False,956912182,0.0
292296969,956912185,6606690,Lipton Ice Tea (33 cl.),1.0,0.0,0.0,DeliveryHero,False,956912182,0.0
292297280,956913307,987185,Anadolu Burger Menü,1.0,459.9,459.9,Burger Menüler,True,,0.0
292297280,956913308,356499,Susurluk Ayranı (250 ml),1.0,0.0,0.0,İçecekler,False,956913307,0.0
292297890,956915429,6606434,Truffles Burger (100 gr.) Menü,1.0,534.9,534.9,DeliveryHero,True,,0.0
