orderId,productId,featureName,featureId,additionalPrice
258538112,980599,B ÖZEL SOS İSTEMİYORUM,911613,-1.0
258538485,987185,Cajun Baharatı İstiyorum,602098,0.0
258538485,6201435,Cajun Baharatı İstiyorum,602098,0.0
258541420,980599,Cajun Baharatı İstiyorum,602098,0.0
258541420,980599,Normal Pişim,602102,0.0
258541420,980599,Cajun Baharatı İstiyorum,602098,0.0
258541420,980599,Eldiven İstiyorum,602096,0.0
258541420,980599,Normal Pişim,602102,0.0
258541781,980599,Cajun Baharatı İstiyorum,602098,0.0
258541781,980599,Eldiven İstiyorum,602096,0.0
258546128,980599,Cajun Baharatı İstiyorum,602098,0.0
258554477,980599,Eldiven İstiyorum,602096,0.0
258554477,980599,Cajun Baharatı İstiyorum,602098,0.0
258562225,980599,Eldiven İstiyorum,602096,0.0
258562225,980599,Cajun Baharatı İstiyorum,602098,0.0
258562225,987186,Eldiven İstiyorum,602096,0.0
258562225,987186,Cajun Baharatı İstiyorum,602098,0.0
258570703,980599,Cajun Baharatı İstiyorum,602098,0.0
258570703,980599,Normal Pişim,602102,0.0
258570703,980599,Cajun Baharatı İstiyorum,602098,0.0
258570703,980599,Normal Pişim,602102,0.0
258576384,980599,Cajun Baharatı İstiyorum,602098,0.0
258576384,980599,Normal Pişim,602102,0.0
258576384,980599,KARAMELİZE SOĞAN İSTEMİYORUM,911610,-1.0
258576384,980599,Cajun Baharatı İstiyorum,602098,0.0
258579944,6201435,Cajun Baharatı İstiyorum,602098,0.0
258581783,980599,Cajun Baharatı İstiyorum,602098,0.0
258581783,980599,Normal Pişim,602102,0.0
258623878,980599,Cajun Baharatı İstiyorum,602098,0.0
258623878,980599,Normal Pişim,602102,0.0
258650361,980599,Cajun Baharatı İstiyorum,602098,0.0
258650361,980599,Normal Pişim,602102,0.0
258650361,980599,FÜME ET İSTEMİYORUM,911612,-5.0
258671064,980599,Cajun Baharatı İstiyorum,602098,0.0
258671064,980599,Normal Pişim,602102,0.0
258671064,987186,Cajun Baharatı İstiyorum,602098,0.0
258671064,987186,Normal Pişim,602102,0.0
258677892,987154,Cajun Baharatı İstiyorum,602098,0.0
258709845,980599,Normal Pişim,602102,0.0
258709845,980599,ET EKMEK ÇOCUK MENÜ,911609,-15.0
258709845,980599,CAJUN BAHARATI İSTEMİYORUM,602099,0.0
258728478,980599,Cajun Baharatı İstiyorum,602098,0.0
258728478,980599,Normal Pişim,602102,0.0
258728478,980599,KARAMELİZE SOĞAN İSTEMİYORUM,911610,-1.0
258729318,980599,Cajun Baharatı İstiyorum,602098,0.0
258729318,980599,Eldiven İstiyorum,602096,0.0
258729318,980599,Normal Pişim,602102,0.0
258729318,980599,Cajun Baharatı İstiyorum,602098,0.0
258729318,980599,Eldiven İstiyorum,602096,0.0
258729318,980599,Normal Pişim,602102,0.0
258729625,987154,Cajun Baharatı İstiyorum,602098,0.0
258729625,987154,Cajun Baharatı İstiyorum,602098,0.0
258729625,987154,KARAMELİZE SOĞAN İSTEMİYORUM,911610,-1.0
258729625,987154,B ÖZEL SOS İSTEMİYORUM,911613,-1.0
258732788,6201435,Cajun Baharatı İstiyorum,602098,0.0
258732788,6201435,Normal Pişim,602102,0.0
258732788,6201435,Eldiven İstiyorum,602096,0.0
258745300,980599,Cajun Baharatı İstiyorum,602098,0.0
258745300,980599,Eldiven İstiyorum,602096,0.0
258745300,980599,Normal Pişim,602102,0.0
258745808,987154,Cajun Baharatı İstiyorum,602098,0.0
258745808,987154,Normal Pişim,602102,0.0
258753398,6201435,Cajun Baharatı İstiyorum,602098,0.0
258753398,6201435,Normal Pişim,602102,0.0
258753398,6201435,Eldiven İstiyorum,602096,0.0
258756906,980599,Cajun Baharatı İstiyorum,602098,0.0
258756906,980599,Normal Pişim,602102,0.0
258756906,980599,ET EKMEK ÇOCUK MENÜ,911609,-15.0
258756906,980599,Cajun Baharatı İstiyorum,602098,0.0
258756906,980599,Eldiven İstiyorum,602096,0.0
258756906,980599,Normal Pişim,602102,0.0
258756906,980599,ET EKMEK ÇOCUK MENÜ,911609,-15.0
258760420,980599,Cajun Baharatı İstiyorum,602098,0.0
258760420,980599,Normal Pişim,602102,0.0
258760420,980599,Cajun Baharatı İstiyorum,602098,0.0
258760420,980599,Normal Pişim,602102,0.0
258760420,980599,B ÖZEL SOS İSTEMİYORUM,911613,-1.0
258761170,980599,Cajun Baharatı İstiyorum,602098,0.0
258761170,980599,Normal Pişim,602102,0.0
258761611,980599,Cajun Baharatı İstiyorum,602098,0.0
258761611,980599,Eldiven İstiyorum,602096,0.0
258761611,980599,Normal Pişim,602102,0.0
258771264,980599,Cajun Baharatı İstiyorum,602098,0.0
258771264,980599,Eldiven İstiyorum,602096,0.0
258771264,980599,Normal Pişim,602102,0.0
258772850,987154,Cajun Baharatı İstiyorum,602098,0.0
258772850,987154,Normal Pişim,602102,0.0
258779617,980599,Cajun Baharatı İstiyorum,602098,0.0
258779617,980599,Normal Pişim,602102,0.0
258779617,980599,ET EKMEK ÇOCUK MENÜ,911609,-15.0
258779617,980599,Cajun Baharatı İstiyorum,602098,0.0
258779617,980599,Eldiven İstiyorum,602096,0.0
258779617,980599,Normal Pişim,602102,0.0
258779617,987185,Eldiven İstiyorum,602096,0.0
258779617,987185,Cajun Baharatı İstiyorum,602098,0.0
258780205,980599,Normal Pişim,602102,0.0
258780205,980599,FÜME ET İSTEMİYORUM,911612,-5.0
258780205,980599,CAJUN BAHARATI İSTEMİYORUM,602099,0.0
258780205,980599,Cajun Baharatı İstiyorum,602098,0.0
258780205,980599,Normal Pişim,602102,0.0
258780205,980599,FÜME ET İSTEMİYORUM,911612,-5.0
258782653,987181,Eldiven İstiyorum,602096,0.0
258782653,987181,Cajun Baharatı İstiyorum,602098,0.0
258782653,987181,Normal Pişim,602102,0.0
258783111,980599,Cajun Baharatı İstiyorum,602098,0.0
258783111,980599,Eldiven İstiyorum,602096,0.0
258783111,980599,Normal Pişim,602102,0.0
258786483,980599,Eldiven İstiyorum,602096,0.0
258786483,980599,Cajun Baharatı İstiyorum,602098,0.0
258786483,980599,Normal Pişim,602102,0.0
258786483,980599,Cajun Baharatı İstiyorum,602098,0.0
258786483,980599,Normal Pişim,602102,0.0
258790769,980599,Eldiven İstiyorum,602096,0.0
258790769,980599,CAJUN BAHARATI İSTEMİYORUM,602099,0.0
258790769,980599,Normal Pişim,602102,0.0
258790867,980599,Cajun Baharatı İstiyorum,602098,0.0
258790867,980599,Normal Pişim,602102,0.0
258796072,6201435,Eldiven İstiyorum,602096,0.0
258796072,6201435,Cajun Baharatı İstiyorum,602098,0.0
258796072,6201435,Normal Pişim,602102,0.0
258829003,987181,Extra Cheddar,415824,15.0
258829003,987181,Eldiven İstiyorum,602096,0.0
258829003,987181,Cajun Baharatı İstiyorum,602098,0.0
258829456,980599,Cajun Baharatı İstiyorum,602098,0.0
258829456,980599,Normal Pişim,602102,0.0
258832862,987181,Cajun Baharatı İstiyorum,602098,0.0
258832862,987181,Normal Pişim,602102,0.0
258832862,6201435,Cajun Baharatı İstiyorum,602098,0.0
258832862,6201435,Normal Pişim,602102,0.0
258841538,980599,Cajun Baharatı İstiyorum,602098,0.0
